direction,bytes,decrypt_us,encrypt_us,total_us,read_calls
forward,128,25,19,58,1
forward,256,8,6,16,1
forward,384,7,4,13,1
forward,512,6,4,12,1
forward,640,6,5,12,1
forward,768,6,5,13,1
forward,896,6,5,13,1
forward,1024,7,5,13,1
forward,1152,6,5,13,1
forward,1280,7,5,14,1
forward,1408,7,6,14,1
forward,1536,8,10,20,1
forward,1664,8,6,16,1
forward,1792,8,6,15,1
forward,1920,8,6,16,1
forward,2048,8,6,16,1
forward,2176,8,7,16,1
forward,2304,58,8,68,1
forward,2432,18,7,27,1
forward,2560,85,8,96,1
forward,2688,10,8,20,1
forward,2816,52,38,92,1
forward,2944,99,10,111,1
forward,128,6,4,12,1
forward,256,5,4,11,1
forward,384,14,4,20,1
forward,512,6,4,12,1
forward,640,6,4,13,1
forward,768,6,5,12,1
forward,896,13,5,21,1
forward,1024,8,5,16,1
forward,1152,7,5,14,1
forward,1280,7,6,14,1
forward,1408,7,6,15,1
forward,1536,7,6,15,1
forward,1664,7,6,15,1
forward,1792,103,10,115,1
forward,1920,11,7,20,1
forward,2048,17,7,26,1
forward,2176,9,7,18,1
forward,2304,62,9,73,1
forward,2432,29,9,39,1
forward,2560,48,9,59,1
forward,2688,60,12,74,1
forward,2816,82,10,94,1
forward,2944,43,9,54,1
forward,128,6,4,12,1
forward,256,7,4,13,1
forward,384,6,4,12,1
forward,512,6,4,12,1
forward,640,6,5,12,1
forward,768,7,4,13,1
forward,896,6,5,13,1
forward,1024,7,5,14,1
forward,1152,7,5,14,1
forward,1280,7,5,14,1
forward,1408,67,26,95,1
forward,1536,11,15,28,1
forward,1664,9,6,17,1
forward,1792,56,7,65,1
forward,1920,10,7,19,1
forward,2048,19,7,28,1
forward,2176,50,8,60,1
forward,2304,9,7,18,1
forward,2432,69,8,79,1
forward,2560,139,11,152,1
forward,2688,25,9,36,1
forward,2816,67,8,77,1
forward,2944,45,9,55,1
forward,128,5,4,11,1
forward,256,5,4,11,1
forward,384,5,4,11,1
forward,512,19,5,25,1
forward,640,6,4,12,1
forward,768,6,4,12,1
forward,896,6,5,12,1
forward,1024,7,5,13,1
forward,1152,32,5,40,1
forward,1280,7,6,14,1
forward,1408,7,6,15,1
forward,1536,7,6,15,1
forward,1664,20,7,28,1
forward,1792,142,7,151,1
forward,1920,8,7,17,1
forward,2048,8,7,17,1
forward,2176,110,18,130,1
forward,2304,10,11,22,1
forward,2432,12,7,21,1
forward,2560,146,8,155,1
forward,2688,22,8,31,1
forward,2816,106,8,116,1
forward,2944,10,8,19,1
forward,128,5,4,10,1
forward,256,56,4,62,1
forward,384,5,4,11,1
forward,512,6,4,12,1
forward,640,6,4,12,1
forward,768,6,5,12,1
forward,896,7,5,14,1
forward,1024,7,5,13,1
forward,1152,58,6,65,1
forward,1280,7,6,14,1
forward,1408,7,5,15,1
forward,1536,7,6,15,1
forward,1664,107,7,116,1
forward,1792,8,6,16,1
forward,1920,64,7,72,1
forward,2048,9,6,17,1
forward,2176,87,9,98,1
forward,2304,125,9,136,1
forward,2432,63,8,73,1
forward,2560,16,7,25,1
forward,2688,38,8,48,1
forward,2816,238,11,252,1
forward,2944,18,9,29,1
forward,128,145,5,152,1
forward,256,5,5,12,1
forward,384,6,5,12,1
forward,512,6,5,12,1
forward,640,6,5,13,1
forward,768,6,5,13,1
forward,896,75,6,84,1
forward,1024,19,6,27,1
forward,1152,119,6,128,1
forward,1280,8,6,16,1
forward,1408,120,7,128,1
forward,1536,88,7,97,1
forward,1664,19,7,28,1
forward,1792,107,7,116,1
forward,1920,10,10,21,1
forward,2048,43,8,53,1
forward,2176,127,8,137,1
forward,2304,176,8,186,1
forward,2432,124,8,134,1
forward,2560,139,10,151,1
forward,2688,110,9,121,1
forward,2816,20,10,31,1
forward,2944,242,9,254,1
forward,128,5,4,12,1
forward,256,5,4,12,1
forward,384,5,5,12,1
forward,512,6,5,12,1
forward,640,17,5,25,1
forward,768,7,5,14,1
forward,896,6,6,14,1
forward,1024,74,7,83,1
forward,1152,16,6,24,1
forward,1280,114,6,123,1
forward,1408,8,6,16,1
forward,1536,170,9,181,1
forward,1664,10,6,18,1
forward,1792,78,11,90,1
forward,1920,138,7,147,1
forward,2048,77,9,87,1
forward,2176,124,12,138,1
forward,2304,103,8,113,1
forward,2432,10,9,20,1
forward,2560,139,9,149,1
forward,2688,161,9,172,1
forward,2816,103,9,114,1
forward,2944,78,8,89,1
forward,128,131,4,137,1
forward,256,5,4,11,1
forward,384,5,4,11,1
forward,512,5,4,11,1
forward,640,28,5,34,1
forward,768,6,5,12,1
forward,896,7,5,13,1
forward,1024,94,6,101,1
forward,1152,13,5,20,1
forward,1280,18,6,26,1
forward,1408,177,6,185,1
forward,1536,81,9,91,1
forward,1664,9,6,17,1
forward,1792,130,7,139,1
forward,1920,10,6,18,1
forward,2048,126,9,137,1
forward,2176,127,7,136,1
forward,2304,11,8,21,1
forward,2432,216,8,226,1
forward,2560,22,7,32,1
forward,2688,235,10,247,1
forward,2816,76,9,86,1
forward,2944,201,10,214,1
forward,128,6,4,11,1
forward,256,5,4,11,1
forward,384,5,4,11,1
forward,512,5,4,11,1
forward,640,7,5,13,1
forward,768,6,5,13,1
forward,896,88,6,96,1
forward,1024,7,5,14,1
forward,1152,7,5,14,1
forward,1280,11,7,20,1
forward,1408,195,7,204,1
forward,1536,83,6,91,1
forward,1664,8,6,16,1
forward,1792,107,7,116,1
forward,1920,125,8,135,1
forward,2048,9,6,17,1
forward,2176,203,7,213,1
forward,2304,107,7,116,1
forward,2432,9,7,17,1
forward,2560,199,8,209,1
forward,2688,148,9,160,1
forward,2816,123,8,133,1
forward,2944,34,8,44,1
forward,128,171,4,177,1
forward,256,5,4,11,1
forward,384,5,4,11,1
forward,512,5,4,11,1
forward,640,44,5,51,1
forward,768,6,6,14,1
forward,896,6,5,13,1
forward,1024,81,6,89,1
forward,1152,19,6,27,1
forward,1280,99,6,107,1
forward,1408,85,6,93,1
forward,1536,7,6,15,1
forward,1664,184,7,193,1
forward,1792,8,6,16,1
forward,1920,136,8,145,1
forward,2048,195,8,205,1
forward,2176,89,7,98,1
forward,2304,9,7,18,1
forward,2432,198,8,209,1
forward,2560,129,8,139,1
forward,2688,10,8,20,1
forward,2816,231,9,242,1
forward,2944,137,11,150,1
forward,128,5,4,11,1
forward,256,5,4,10,1
forward,384,5,4,11,1
forward,512,5,4,11,1
forward,640,7,4,13,1
forward,768,6,4,12,1
forward,896,6,5,12,1
forward,1024,107,7,116,1
forward,1152,19,5,26,1
forward,1280,8,6,16,1
forward,1408,201,6,210,1
forward,1536,101,7,110,1
forward,1664,16,6,24,1
forward,1792,87,7,96,1
forward,1920,89,7,98,1
forward,2048,134,7,143,1
forward,2176,116,7,125,1
forward,2304,112,8,121,1
forward,2432,117,8,127,1
forward,2560,21,8,31,1
forward,2688,227,8,237,1
forward,2816,74,12,87,1
forward,2944,237,10,249,1
forward,128,6,4,12,1
forward,256,5,4,10,1
forward,384,5,4,11,1
forward,512,5,4,11,1
forward,640,6,4,12,1
forward,768,9,5,16,1
forward,896,95,6,102,1
forward,1024,6,5,13,1
forward,1152,7,5,14,1
forward,1280,87,6,94,1
forward,1408,127,7,135,1
forward,1536,83,6,91,1
forward,1664,8,6,16,1
forward,1792,131,7,140,1
forward,1920,102,8,112,1
forward,2048,9,6,17,1
forward,2176,228,7,237,1
forward,2304,98,7,107,1
forward,2432,85,8,95,1
forward,2560,159,8,169,1
forward,2688,139,11,151,1
forward,2816,13,8,23,1
forward,2944,248,9,259,1
forward,128,5,4,11,1
forward,256,5,4,10,1
forward,384,5,4,11,1
forward,512,5,4,11,1
forward,640,6,4,12,1
forward,768,27,5,34,1
forward,896,96,6,104,1
forward,1024,6,5,13,1
forward,1152,7,5,14,1
forward,1280,141,6,149,1
forward,1408,71,6,79,1
forward,1536,128,7,137,1
forward,1664,85,7,94,1
forward,1792,8,6,17,1
forward,1920,87,7,96,1
forward,2048,115,7,124,1
forward,2176,88,7,97,1
forward,2304,10,7,19,1
forward,2432,158,8,168,1
forward,2560,145,10,157,1
forward,2688,134,8,145,1
forward,2816,10,7,19,1
forward,2944,236,9,246,1
forward,128,5,4,11,1
forward,256,5,4,10,1
forward,384,5,4,11,1
forward,512,5,4,11,1
forward,640,69,5,76,1
forward,768,6,5,12,1
forward,896,75,5,83,1
forward,1024,18,5,25,1
forward,1152,114,6,122,1
forward,1280,19,6,27,1
