direction,bytes,decrypt_us,encrypt_us,total_us,read_calls
forward,256,5,3,10,1
forward,384,5,4,10,1
forward,512,6,4,11,1
forward,640,16,5,22,1
forward,768,6,4,11,1
forward,896,80,5,87,1
forward,1024,16,6,24,1
forward,1152,126,5,134,1
forward,1280,7,5,14,1
forward,1408,176,6,184,1
forward,1536,94,6,102,1
forward,1664,8,5,15,1
forward,1792,113,6,121,1
forward,1920,133,7,142,1
forward,2048,102,7,111,1
forward,2176,28,7,37,1
forward,2304,227,7,236,1
forward,2432,117,7,126,1
forward,2560,82,7,91,1
forward,2688,105,7,114,1
forward,2816,78,9,88,1
forward,2944,124,7,134,1
forward,128,5,3,10,1
forward,256,84,4,89,1
forward,384,5,4,11,1
forward,512,5,4,11,1
forward,640,5,4,11,1
forward,768,79,5,85,1
forward,896,6,4,12,1
forward,1024,112,5,119,1
forward,1152,132,5,140,1
forward,1280,21,6,29,1
forward,1408,121,6,129,1
forward,1536,432,13,447,1
forward,1664,9,6,16,1
forward,1792,8,6,15,1
forward,1920,55,10,67,1
forward,2048,9,6,17,1
forward,2176,124,7,133,1
forward,2304,150,7,159,1
forward,2432,20,7,29,1
forward,2560,202,8,211,1
forward,2688,93,10,105,1
forward,2816,44,8,53,1
forward,2944,213,9,223,1
forward,128,5,3,10,1
forward,256,5,3,10,1
forward,384,5,4,10,1
forward,512,5,4,11,1
forward,640,5,4,11,1
forward,768,142,5,149,1
forward,896,6,4,12,1
forward,1024,121,6,128,1
forward,1152,13,6,20,1
forward,1280,100,6,108,1
forward,1408,7,5,14,1
forward,1536,95,6,103,1
forward,1664,156,7,165,1
forward,1792,106,6,114,1
forward,1920,23,7,31,1
forward,2048,187,7,195,1
forward,2176,110,7,119,1
forward,2304,23,7,31,1
forward,2432,238,7,247,1
forward,2560,28,11,41,1
forward,2688,141,8,150,1
forward,2816,140,8,150,1
forward,2944,175,8,185,1
forward,128,5,3,10,1
forward,256,5,3,10,1
forward,384,5,4,10,1
forward,512,100,4,106,1
forward,640,6,4,11,1
forward,768,8,4,14,1
