direction,bytes,decrypt_us,encrypt_us,total_us,read_calls
forward,128,26,18,59,1
forward,256,8,6,17,1
forward,384,6,5,12,1
forward,512,6,19,26,1
forward,640,7,5,13,1
forward,768,6,5,12,1
forward,896,6,5,13,1
forward,1024,6,5,13,1
forward,1152,7,5,13,1
forward,1280,7,5,14,1
forward,1408,7,5,14,1
forward,1536,7,6,14,1
forward,1664,8,6,15,1
forward,1792,7,6,15,1
forward,1920,252,7,261,1
forward,2048,29,7,38,1
forward,2176,21,7,30,1
forward,2304,52,7,61,1
forward,2432,37,8,46,1
forward,2560,31,8,41,1
forward,2688,122,8,132,1
forward,2816,21,39,62,1
forward,2944,47,10,59,1
forward,128,6,4,11,1
forward,256,5,4,11,1
forward,384,5,4,11,1
forward,512,24,5,31,1
forward,640,6,4,12,1
forward,768,6,5,13,1
forward,896,6,5,13,1
forward,1024,53,6,61,1
forward,1152,8,5,15,1
forward,1280,7,5,14,1
forward,1408,7,6,14,1
forward,1536,7,6,15,1
forward,1664,36,6,44,1
forward,1792,19,7,28,1
forward,1920,108,7,117,1
forward,2048,155,7,164,1
forward,2176,20,7,29,1
forward,2304,336,9,347,1
forward,2432,10,8,20,1
forward,2560,287,9,298,1
forward,2688,449,11,462,1
forward,2816,112,8,122,1
forward,2944,244,8,254,1
forward,128,5,4,11,1
forward,256,133,4,139,1
forward,384,6,4,12,1
forward,512,176,5,183,1
forward,640,6,4,12,1
forward,768,96,5,103,1
forward,896,7,5,13,1
forward,1024,202,5,210,1
forward,1152,120,6,128,1
forward,1280,124,6,132,1
forward,1408,12,20,34,1
forward,1536,295,7,305,1
forward,1664,95,7,104,1
forward,1792,230,6,238,1
forward,1920,258,7,267,1
forward,2048,96,7,105,1
forward,2176,257,7,266,1
forward,2304,119,7,128,1
forward,2432,394,8,404,1
forward,2560,102,10,114,1
forward,2688,320,8,330,1
forward,2816,457,8,467,1
forward,2944,114,8,124,1
forward,128,5,4,11,1
forward,256,5,4,11,1
forward,384,107,4,113,1
forward,512,6,4,12,1
forward,640,91,5,97,1
forward,768,205,5,212,1
forward,896,6,5,13,1
forward,1024,6,5,13,1
forward,1152,215,6,223,1
forward,1280,140,7,149,1
forward,1408,9,6,17,1
forward,1536,318,8,328,1
forward,1664,175,7,184,1
forward,1792,23,7,32,1
forward,1920,306,8,316,1
forward,2048,220,7,229,1
forward,2176,109,24,136,1
forward,2304,154,10,166,1
forward,2432,371,8,381,1
forward,2560,19,8,28,1
forward,2688,324,8,334,1
forward,2816,578,8,588,1
forward,2944,132,8,142,1
forward,128,5,4,11,1
forward,256,5,4,11,1
forward,384,5,4,11,1
forward,512,62,4,68,1
forward,640,166,5,172,1
forward,768,6,5,12,1
forward,896,97,5,104,1
forward,1024,8,5,14,1
forward,1152,289,5,296,1
forward,1280,134,6,142,1
forward,1408,32,6,40,1
forward,1536,212,6,221,1
forward,1664,213,7,222,1
forward,1792,218,6,226,1
forward,1920,83,7,91,1
forward,2048,244,7,253,1
forward,2176,19,10,31,1
forward,2304,288,7,297,1
forward,2432,287,7,297,1
forward,2560,84,8,94,1
forward,2688,234,8,244,1
forward,2816,460,11,473,1
forward,2944,256,9,267,1
forward,128,6,4,12,1
forward,256,5,4,11,1
forward,384,6,5,13,1
forward,512,150,5,157,1
forward,640,159,5,166,1
forward,768,103,6,110,1
forward,896,237,6,245,1
forward,1024,7,6,14,1
forward,1152,107,6,115,1
forward,1280,146,7,155,1
forward,1408,8,6,16,1
forward,1536,291,9,302,1
forward,1664,8,7,17,1
forward,1792,346,8,356,1
forward,1920,116,10,127,1
forward,2048,358,8,368,1
forward,2176,78,9,89,1
forward,2304,370,9,381,1
forward,2432,23,8,33,1
forward,2560,259,9,271,1
forward,2688,478,10,490,1
forward,2816,32,9,44,1
forward,2944,342,12,356,1
forward,128,8,6,15,1
forward,256,117,7,126,1
forward,384,6,5,13,1
forward,512,192,7,201,1
forward,640,6,5,13,1
forward,768,72,6,80,1
forward,896,182,6,190,1
forward,1024,113,7,122,1
forward,1152,21,7,30,1
forward,1280,290,7,299,1
forward,1408,173,8,183,1
forward,1536,8,6,16,1
forward,1664,450,8,460,1
forward,1792,99,10,110,1
forward,1920,345,8,355,1
forward,2048,136,7,146,1
forward,2176,329,8,339,1
forward,2304,167,8,177,1
forward,2432,372,8,382,1
forward,2560,126,8,136,1
forward,2688,354,8,364,1
forward,2816,504,9,514,1
forward,2944,34,8,44,1
forward,128,206,4,212,1
forward,256,5,4,11,1
forward,384,5,4,11,1
forward,512,135,5,141,1
forward,640,6,4,12,1
forward,768,130,5,137,1
forward,896,7,5,14,1
forward,1024,257,6,265,1
forward,1152,191,6,199,1
forward,1280,128,6,136,1
forward,1408,374,7,382,1
forward,1536,122,9,132,1
forward,1664,225,7,233,1
forward,1792,144,7,153,1
forward,1920,323,8,333,1
forward,2048,27,8,37,1
forward,2176,382,7,391,1
forward,2304,323,8,332,1
forward,2432,9,7,18,1
forward,2560,496,8,505,1
forward,2688,159,8,170,1
forward,2816,322,8,332,1
forward,2944,94,8,103,1
forward,128,277,5,283,1
forward,256,6,4,12,1
forward,384,5,4,11,1
forward,512,6,4,12,1
forward,640,151,6,159,1
forward,768,99,5,107,1
forward,896,7,5,13,1
forward,1024,204,5,212,1
forward,1152,151,6,159,1
forward,1280,187,8,196,1
forward,1408,7,5,14,1
forward,1536,299,7,308,1
forward,1664,233,7,241,1
forward,1792,33,7,41,1
forward,1920,308,7,317,1
forward,2048,228,7,237,1
forward,2176,114,7,123,1
forward,2304,256,8,265,1
forward,2432,492,8,502,1
forward,2560,25,8,35,1
forward,2688,254,9,265,1
forward,2816,317,8,328,1
forward,2944,345,8,355,1
forward,128,5,4,11,1
forward,256,5,4,10,1
forward,384,135,5,141,1
forward,512,6,4,12,1
forward,640,6,4,12,1
forward,768,158,7,167,1
forward,896,124,5,131,1
forward,1024,7,5,13,1
forward,1152,323,6,331,1
forward,1280,146,6,154,1
forward,1408,7,6,15,1
forward,1536,366,6,375,1
forward,1664,111,7,119,1
forward,1792,231,7,239,1
forward,1920,107,7,116,1
forward,2048,233,7,242,1
forward,2176,21,7,29,1
forward,2304,268,7,278,1
forward,2432,250,9,261,1
forward,2560,402,10,413,1
forward,2688,116,13,131,1
forward,2816,223,12,236,1
forward,2944,248,12,262,1
forward,128,6,4,12,1
forward,256,5,4,10,1
forward,384,133,6,141,1
forward,512,7,4,13,1
forward,640,6,4,12,1
forward,768,139,5,146,1
forward,896,105,6,113,1
forward,1024,7,6,15,1
forward,1152,378,7,387,1
forward,1280,129,7,138,1
forward,1408,8,6,16,1
forward,1536,290,7,299,1
forward,1664,148,7,157,1
forward,1792,199,7,208,1
forward,1920,22,7,31,1
forward,2048,217,7,226,1
forward,2176,20,7,29,1
forward,2304,277,10,289,1
forward,2432,11,7,20,1
forward,2560,295,8,304,1
forward,2688,126,8,136,1
forward,2816,30,10,42,1
forward,2944,205,8,215,1
forward,128,9,4,15,1
forward,256,5,4,10,1
forward,384,5,4,11,1
forward,512,5,4,11,1
forward,640,67,5,74,1
forward,768,18,5,25,1
forward,896,6,5,12,1
forward,1024,20,5,27,1
forward,1152,125,6,133,1
forward,1280,126,6,134,1
forward,1408,7,5,15,1
forward,1536,176,6,184,1
